City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margaret river,-33.95,115.0667,294.05,46,0,5.34,AU,1712363849
84,puri,19.8,85.85,300.53,85,0,6.42,IN,1712363884
85,greymouth,-42.4667,171.2,289.22,61,0,2.31,NZ,1712363884
86,chingirlau,51.095,54.0814,282.7,65,100,1.78,KZ,1712363884
87,kuqa,41.7278,82.9364,282.13,51,98,2.85,CN,1712363884
88,atafu village,-8.5421,-172.5159,302.52,69,100,2.89,TK,1712363885
89,celestun,20.8667,-90.4,297.0,69,10,8.24,MX,1712363885
90,la passe,45.5549,-0.8967,290.36,75,64,11.63,FR,1712363885
91,berezovyy,51.6667,135.7,278.64,50,100,1.8,RU,1712363885
92,fale old settlement,-9.3852,-171.2468,302.56,70,59,1.91,TK,1712363696
93,iqaluit,63.7506,-68.5145,265.0,93,100,1.54,CA,1712363886
94,ciudad melchor muzquiz,27.8833,-101.5167,301.69,31,100,7.06,MX,1712363886
95,dazhou,31.2159,107.5009,287.86,76,100,1.86,CN,1712363886
96,tolanaro,-25.0319,46.9987,298.19,83,20,4.12,MG,1712363886
97,hamilton,39.1834,-84.5333,280.85,69,100,2.57,US,1712363435
98,muisne,0.6,-80.0333,299.44,84,100,1.76,EC,1712363886
99,ushuaia,-54.8,-68.3,284.96,54,20,5.66,AR,1712363844
100,el granada,37.5027,-122.4694,287.09,65,75,14.4,US,1712363636
101,sola,-13.8833,167.55,303.52,79,75,2.06,VU,1712363887
102,bilibino,68.0546,166.4372,261.42,74,11,0.37,RU,1712363887
103,kerikeri,-35.2268,173.9474,293.51,61,59,2.84,NZ,1712363887
104,colonia,50.9333,6.95,288.68,81,20,3.09,DE,1712363844
105,gadzhiyevo,69.2551,33.3362,263.08,88,100,6.25,RU,1712363597
106,arraial do cabo,-22.9661,-42.0278,297.29,84,0,1.85,BR,1712363888
107,port mathurin,-19.6833,63.4167,299.91,79,70,7.59,MU,1712363888
108,bethel,41.3712,-73.414,279.68,65,40,3.09,US,1712363677
109,nogliki,51.8333,143.1667,276.67,75,0,4.02,RU,1712363888
110,colares,38.7992,-9.4469,291.97,94,100,9.39,PT,1712363888
111,port elizabeth,-33.918,25.5701,289.99,76,100,0.45,ZA,1712363888
112,tebingtinggi,3.3285,99.1625,299.67,89,98,1.38,ID,1712363888
113,coquimbo,-29.9533,-71.3436,288.0,94,20,1.03,CL,1712363765
114,sao felix do xingu,-6.6447,-51.995,296.37,98,100,0.91,BR,1712363889
115,pulandian,39.3953,121.9669,289.03,42,50,5.7,CN,1712363889
116,salinopolis,-0.6136,-47.3561,300.04,86,64,5.21,BR,1712363889
117,saldanha,-33.0117,17.9442,286.18,80,19,7.3,ZA,1712363889
118,cestos city,5.46,-9.5828,299.94,89,100,2.19,LR,1712363889
119,tazovsky,67.4667,78.7,250.5,96,18,4.51,RU,1712363889
120,thompson,55.7435,-97.8558,281.24,39,75,3.09,CA,1712363889
121,tapes,-30.6733,-51.3958,292.76,67,0,3.51,BR,1712363890
122,bulata,9.8599,122.4016,303.0,62,100,4.48,PH,1712363890
123,krasnyy kut,50.95,46.9667,278.8,91,100,2.81,RU,1712363890
124,esikhaleni,-28.871,31.8996,294.54,81,100,4.51,ZA,1712363890
125,puerto ayora,-0.7393,-90.3518,298.46,94,63,1.34,EC,1712363890
126,ormara,25.2088,64.6357,297.61,68,0,6.27,PK,1712363890
127,fortuna,40.5982,-124.1573,284.22,67,75,4.63,US,1712363891
128,whitehorse,60.7161,-135.0538,276.49,80,75,5.66,CA,1712363713
129,vila velha,-20.3297,-40.2925,300.34,87,75,2.57,BR,1712363702
130,daru,-9.0763,143.2092,299.9,89,100,4.45,PG,1712363891
131,san julian,21.0167,-102.1667,294.9,17,100,3.3,MX,1712363891
132,dudinka,69.4058,86.1778,264.64,93,100,12.52,RU,1712363891
133,college,64.8569,-147.8028,276.37,69,75,3.6,US,1712363756
134,pisco,-13.7,-76.2167,296.18,83,0,7.72,PE,1712363891
135,haiku-pauwela,20.9219,-156.3051,298.99,80,40,11.32,US,1712363891
136,san patricio,28.017,-97.5169,297.2,66,100,6.89,US,1712363892
137,kodiak,57.79,-152.4072,278.88,52,40,6.69,US,1712363892
138,north bend,43.4065,-124.2243,284.4,76,100,4.12,US,1712363892
139,shahkot,31.0775,75.3372,292.02,22,0,2.17,IN,1712363892
140,jamestown,42.097,-79.2353,274.92,98,100,5.66,US,1712363873
141,nar'yan-mar,67.6713,53.087,259.88,93,71,4.47,RU,1712363892
142,tawau,4.2498,117.8871,300.22,82,100,2.15,MY,1712363893
143,katsuura,35.1333,140.3,285.16,95,100,6.32,JP,1712363893
144,keflavik,64.0049,-22.5624,272.39,69,0,4.12,IS,1712363893
145,ouarzazat,30.9189,-6.8934,293.31,15,100,0.51,MA,1712363893
146,vega de alatorre,20.0333,-96.6333,296.75,83,87,6.75,MX,1712363893
147,palmer,42.1584,-72.3287,278.44,72,100,4.63,US,1712363831
148,hobyo,5.3505,48.5268,301.21,71,52,5.37,SO,1712363893
149,rikaze,29.25,88.8833,277.83,39,100,0.69,CN,1712363893
150,udachny,66.4167,112.4,249.51,91,19,4.86,RU,1712363894
151,wladyslawowo,54.7909,18.4009,285.9,84,6,9.79,PL,1712363894
152,wajir,1.7471,40.0573,298.89,83,100,2.58,KE,1712363894
153,wynyard,-41.0,145.7167,289.77,76,100,6.2,AU,1712363894
154,albany,42.6001,-73.9662,277.91,75,99,5.81,US,1712363212
155,nadym,65.5333,72.5167,254.8,87,6,7.68,RU,1712363894
156,kamiiso,41.8167,140.65,282.36,71,0,2.06,JP,1712363894
157,fort mcmurray,56.7268,-111.381,274.88,93,100,1.54,CA,1712363895
158,aasiaat,68.7098,-52.8699,261.36,95,100,4.52,GL,1712363895
159,wailua homesteads,22.0669,-159.378,300.39,79,100,10.8,US,1712363895
160,kapa'a,22.0752,-159.319,301.14,79,100,10.8,US,1712363607
161,bathsheba,13.2167,-59.5167,301.49,78,40,7.72,BB,1712363895
162,east london,-33.0153,27.9116,290.23,81,100,2.55,ZA,1712363895
163,kushiro,42.975,144.3747,282.68,40,0,4.63,JP,1712363896
164,bambanglipuro,-7.95,110.2833,300.49,79,100,1.83,ID,1712363896
165,nikolayevsk-on-amure,53.1406,140.73,277.16,67,67,1.34,RU,1712363721
